pasta;arquivo;link;;;
cnaes;cnaes;https://dadosabertos.rfb.gov.br/CNPJ/Cnaes.zip;;;
empresas;empresas_00;https://dadosabertos.rfb.gov.br/CNPJ/Empresas0.zip;;;
empresas;empresas_01;https://dadosabertos.rfb.gov.br/CNPJ/Empresas1.zip;;;
empresas;empresas_02;https://dadosabertos.rfb.gov.br/CNPJ/Empresas2.zip;;;
empresas;empresas_03;https://dadosabertos.rfb.gov.br/CNPJ/Empresas3.zip;;;
empresas;empresas_04;https://dadosabertos.rfb.gov.br/CNPJ/Empresas4.zip;;;
empresas;empresas_05;https://dadosabertos.rfb.gov.br/CNPJ/Empresas5.zip;;;
empresas;empresas_06;https://dadosabertos.rfb.gov.br/CNPJ/Empresas6.zip;;;
empresas;empresas_07;https://dadosabertos.rfb.gov.br/CNPJ/Empresas7.zip;;;
empresas;empresas_08;https://dadosabertos.rfb.gov.br/CNPJ/Empresas8.zip;;;
empresas;empresas_09;https://dadosabertos.rfb.gov.br/CNPJ/Empresas9.zip;;;
estabelecimentos;estabelecimentos_00;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos0.zip;;;
estabelecimentos;estabelecimentos_01;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos1.zip;;;
estabelecimentos;estabelecimentos_02;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos2.zip;;;
estabelecimentos;estabelecimentos_03;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos3.zip;;;
estabelecimentos;estabelecimentos_04;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos4.zip;;;
estabelecimentos;estabelecimentos_05;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos5.zip;;;
estabelecimentos;estabelecimentos_06;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos6.zip;;;
estabelecimentos;estabelecimentos_07;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos7.zip;;;
estabelecimentos;estabelecimentos_08;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos8.zip;;;
estabelecimentos;estabelecimentos_09;https://dadosabertos.rfb.gov.br/CNPJ/Estabelecimentos9.zip;;;
motivos;motivos;https://dadosabertos.rfb.gov.br/CNPJ/Motivos.zip;;;
municipios;municipios;https://dadosabertos.rfb.gov.br/CNPJ/Municipios.zip;;;
paises;paises;https://dadosabertos.rfb.gov.br/CNPJ/Paises.zip;;;
qualificacoes;qualificacoes;https://dadosabertos.rfb.gov.br/CNPJ/Qualificacoes.zip;;;
simples;simples;https://dadosabertos.rfb.gov.br/CNPJ/Simples.zip;;;
socios;socios_00;https://dadosabertos.rfb.gov.br/CNPJ/Socios0.zip;;;
socios;socios_01;https://dadosabertos.rfb.gov.br/CNPJ/Socios1.zip;;;
socios;socios_02;https://dadosabertos.rfb.gov.br/CNPJ/Socios2.zip;;;
socios;socios_03;https://dadosabertos.rfb.gov.br/CNPJ/Socios3.zip;;;
socios;socios_04;https://dadosabertos.rfb.gov.br/CNPJ/Socios4.zip;;;
socios;socios_05;https://dadosabertos.rfb.gov.br/CNPJ/Socios5.zip;;;
socios;socios_06;https://dadosabertos.rfb.gov.br/CNPJ/Socios6.zip;;;
socios;socios_07;https://dadosabertos.rfb.gov.br/CNPJ/Socios7.zip;;;
socios;socios_08;https://dadosabertos.rfb.gov.br/CNPJ/Socios8.zip;;;
socios;socios_09;https://dadosabertos.rfb.gov.br/CNPJ/Socios9.zip;;;
